Cell ID,Cell birth time,Cell age,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Fluor1 sum,Fluor1 mean,Mother ID,Daughter1 ID,Daughter2 ID,L death / L birth,Fluor1 sum death,Fluor1 mean death,Long axis/Short axis birth,Long axis/Short axis death,Growth Rate,Volume birth,Volume division,Vd-Vb,fov,Time Division
5404.0,273.0,75.0,2.0,18.0,39.0,7.864529931409915,7.88792032707147,148.0,324.0,248220.0,1677.162162162162,5361.0,5508.0,5509.0,2.1666666666666665,525130.0,1620.7716049382716,2.2887572629243014,4.944269006641886,0.030927595529339273,0.9074910992830982,2.1590353296806177,1.2515442303975195,xy3,348.0
5405.0,273.0,123.0,2.0,16.0,42.0,7.780376580550226,8.368688589802616,130.0,357.0,166345.0,1279.576923076923,5349.0,5585.0,5586.0,2.625,541091.0,1515.6610644257703,2.056455729918986,5.018707477199915,0.023538558440087495,0.7742854899771361,2.6199900297801166,1.8457045398029805,xy3,396.0
5406.0,273.0,141.0,2.0,16.0,46.0,8.322174202208263,8.78181944694469,134.0,404.0,188699.0,1408.2014925373135,5349.0,5619.0,5620.0,2.875,707739.0,1751.829207920792,1.9225745113283557,5.238094483484741,0.022469205835091786,0.8739434986249484,3.169235516463762,2.295292017838814,xy3,414.0
5410.0,276.0,81.0,2.0,18.0,36.0,8.651822664193755,8.85799814541813,157.0,320.0,262562.0,1672.3694267515923,5343.0,5534.0,5535.0,2.0,619190.0,1934.96875,2.0804864707288107,4.064123677720715,0.025672117798516497,1.0795355274783012,2.4739489790287887,1.3944134515504876,xy3,357.0
5411.0,276.0,60.0,2.0,18.0,30.0,8.943108277613382,9.297696524175013,163.0,279.0,244746.0,1501.5092024539877,5343.0,5498.0,5499.0,1.6666666666666667,589799.0,2113.9749103942654,2.0127230311029627,3.2266056352771644,0.02554128118829955,1.1460408317268433,2.218699826133266,1.0726589944064229,xy3,336.0
5414.0,279.0,45.0,2.0,31.0,47.0,8.430257618109335,8.660570653286108,264.0,409.0,521816.0,1976.5757575757575,5303.0,5476.0,5477.0,1.5161290322580645,723531.0,1769.0244498777506,3.6772304482614864,5.426894125292614,0.02774402648166081,1.9114308239081703,3.1567788675241593,1.245348043615989,xy3,324.0
5415.0,279.0,33.0,2.0,28.0,40.0,8.162936684880957,8.513878291928133,229.0,341.0,451256.0,1970.5502183406113,5303.0,5458.0,5459.0,1.4285714285714286,724942.0,2125.9296187683285,3.430138083988867,4.698211394203666,0.03242499490352113,1.607075380576013,2.5700263010060285,0.9629509204300155,xy3,312.0
5425.0,288.0,63.0,2.0,20.0,36.0,8.5268227644131,8.373701732865833,171.0,304.0,233609.0,1366.1345029239767,5367.0,5513.0,5514.0,1.8,447507.0,1472.0625,2.345539546508517,4.299173907604574,0.027989841185815195,1.1901928398581174,2.221625510867627,1.0314326710095094,xy3,351.0
5426.0,288.0,69.0,2.0,20.0,34.0,8.24007122129173,8.646234635152517,165.0,294.0,298578.0,1809.5636363636363,5362.0,5532.0,5533.0,1.7,507468.0,1726.0816326530612,2.427163487170049,3.9323475980825324,0.023070793524442204,1.1176800160589493,2.219462228133139,1.1017822120741898,xy3,357.0
5427.0,288.0,120.0,2.0,22.0,33.0,7.641905578468296,8.246086354833492,175.0,274.0,280519.0,1602.9657142857143,5362.0,5610.0,5611.0,1.5,362454.0,1322.8248175182482,2.8788631021543667,4.001898425506647,0.010136627702704104,1.0838428624975855,1.9625602776710669,0.8787174151734813,xy3,408.0
5428.0,288.0,120.0,2.0,15.0,30.0,7.655363469119425,8.502349039390392,122.0,260.0,172683.0,1415.4344262295083,5350.0,5608.0,5609.0,2.0,377037.0,1450.1423076923077,1.95941055712217,3.528436654507301,0.017328679513998635,0.6960200535893167,1.873634330704777,1.17761427711546,xy3,408.0
5429.0,288.0,90.0,2.0,15.0,31.0,8.40809948750972,8.624055687177217,130.0,270.0,169991.0,1307.623076923077,5350.0,5560.0,5561.0,2.066666666666667,471577.0,1746.5814814814814,1.7839941145181009,3.59459645490146,0.02419790011276454,0.8227019656493386,1.995738500995877,1.1730365353465384,xy3,378.0
